time	V(vo)
0.000000000000000e+00	3.301829e+00
1.436158171375642e-02	3.301828e+00
2.872316342751283e-02	3.301828e+00
4.308474514126925e-02	3.301827e+00
5.744632685502567e-02	3.301826e+00
7.180790856878208e-02	3.301825e+00
8.616949028253851e-02	3.301824e+00
1.005310719962949e-01	3.301823e+00
1.006310719962949e-01	3.301823e+00
1.152453577105795e-01	3.301822e+00
1.298596434248641e-01	3.301821e+00
1.444739291391486e-01	3.301820e+00
1.590882148534332e-01	3.301819e+00
1.737025005677179e-01	3.301817e+00
1.883167862820024e-01	3.301816e+00
2.029310719962870e-01	3.301815e+00
2.030310719962870e-01	3.301815e+00
2.176453577105711e-01	3.301814e+00
2.322596434248552e-01	3.301812e+00
2.468739291391393e-01	3.301811e+00
2.614882148534234e-01	3.301810e+00
2.761025005677076e-01	3.301808e+00
2.907167862819917e-01	3.301807e+00
3.053310719962757e-01	3.301805e+00
3.054310719962757e-01	3.301805e+00
3.200453577105599e-01	3.301804e+00
3.346596434248439e-01	3.301802e+00
3.492739291391281e-01	3.301801e+00
3.638882148534122e-01	3.301799e+00
3.785025005676963e-01	3.301797e+00
3.931167862819804e-01	3.301795e+00
4.077310719962645e-01	3.301793e+00
4.078310719962644e-01	3.301793e+00
4.224453577105486e-01	3.301791e+00
4.370596434248327e-01	3.301789e+00
4.516739291391168e-01	3.301787e+00
4.662882148534009e-01	3.301785e+00
4.809025005676850e-01	3.301783e+00
4.955167862819691e-01	3.301780e+00
5.101310719962532e-01	3.301778e+00
5.102310719962532e-01	3.301778e+00
5.248453577105373e-01	3.301775e+00
5.394596434248214e-01	3.301772e+00
5.540739291391055e-01	3.301769e+00
5.686882148533896e-01	3.301766e+00
5.833025005676737e-01	3.301763e+00
5.979167862819579e-01	3.301759e+00
6.125310719962419e-01	3.301756e+00
6.126310719962419e-01	3.301756e+00
6.272453577105260e-01	3.301752e+00
6.418596434248102e-01	3.301748e+00
6.564739291390942e-01	3.301743e+00
6.710882148533783e-01	3.301738e+00
6.857025005676625e-01	3.301733e+00
7.003167862819466e-01	3.301728e+00
7.149310719962306e-01	3.301722e+00
7.150310719962306e-01	3.301722e+00
7.275310719962292e-01	3.301716e+00
7.400310719962279e-01	3.301710e+00
7.525310719962265e-01	3.301703e+00
7.650310719962251e-01	3.301696e+00
7.775310719962237e-01	3.301688e+00
7.900310719962224e-01	3.301679e+00
8.025310719962210e-01	3.301669e+00
8.174310719962193e-01	3.301656e+00
8.253167862819327e-01	3.301649e+00
8.332025005676462e-01	3.301640e+00
8.410882148533596e-01	3.301631e+00
8.489739291390730e-01	3.301620e+00
8.568596434247865e-01	3.301609e+00
8.647453577104999e-01	3.301596e+00
8.726310719962133e-01	3.301583e+00
8.780167862819269e-01	3.301573e+00
8.834025005676407e-01	3.301561e+00
8.887882148533544e-01	3.301549e+00
8.941739291390680e-01	3.301535e+00
8.995596434247818e-01	3.301519e+00
9.049453577104954e-01	3.301502e+00
9.103310719962091e-01	3.301484e+00
9.116739291390661e-01	3.301479e+00
9.130167862819231e-01	3.301474e+00
9.143596434247800e-01	3.301469e+00
9.157025005676371e-01	3.301463e+00
9.170453577104941e-01	3.301457e+00
9.183882148533511e-01	3.301451e+00
9.197310719962081e-01	3.301445e+00
9.198310719962081e-01	3.301445e+00
9.231167862819220e-01	3.301430e+00
9.264025005676360e-01	3.301412e+00
9.296882148533498e-01	3.301393e+00
9.329739291390637e-01	3.301371e+00
9.362596434247776e-01	3.301347e+00
9.395453577104916e-01	3.301321e+00
9.428310719962055e-01	3.301293e+00
9.451025005676339e-01	3.301272e+00
9.473739291390622e-01	3.301248e+00
9.496453577104905e-01	3.301220e+00
9.519167862819188e-01	3.301190e+00
9.541882148533471e-01	3.301157e+00
9.564596434247754e-01	3.301120e+00
9.587310719962038e-01	3.301080e+00
9.603025005676322e-01	3.301051e+00
9.618739291390606e-01	3.301016e+00
9.634453577104890e-01	3.300978e+00
9.650167862819173e-01	3.300935e+00
9.665882148533458e-01	3.300888e+00
9.681596434247741e-01	3.300836e+00
9.697310719962026e-01	3.300781e+00
9.708310719962024e-01	3.300738e+00
9.719310719962023e-01	3.300689e+00
9.730310719962022e-01	3.300634e+00
9.741310719962021e-01	3.300573e+00
9.752310719962020e-01	3.300506e+00
9.763310719962018e-01	3.300433e+00
9.774310719962017e-01	3.300353e+00
9.782167862819159e-01	3.300291e+00
9.790025005676302e-01	3.300221e+00
9.797882148533443e-01	3.300141e+00
9.805739291390585e-01	3.300052e+00
9.813596434247727e-01	3.299954e+00
9.821453577104869e-01	3.299848e+00
9.829310719962011e-01	3.299732e+00
9.834882148533439e-01	3.299643e+00
9.840453577104867e-01	3.299541e+00
9.846025005676295e-01	3.299426e+00
9.851596434247722e-01	3.299299e+00
9.857167862819151e-01	3.299159e+00
9.862739291390579e-01	3.299006e+00
9.868310719962007e-01	3.298841e+00
9.872310719962006e-01	3.298712e+00
9.876310719962006e-01	3.298565e+00
9.880310719962005e-01	3.298401e+00
9.884310719962005e-01	3.298219e+00
9.888310719962005e-01	3.298020e+00
9.892310719962004e-01	3.297804e+00
9.896310719962004e-01	3.297570e+00
9.898310719962004e-01	3.297439e+00
9.899310719962003e-01	3.297371e+00
9.900310719962003e-01	3.297301e+00
9.901310719962003e-01	3.297228e+00
9.902310719962003e-01	3.297154e+00
9.903310719962003e-01	3.297077e+00
9.904310719962003e-01	3.296998e+00
9.905310719962003e-01	3.296916e+00
9.906310719962003e-01	3.296832e+00
9.907310719962003e-01	3.296745e+00
9.908310719962002e-01	3.296655e+00
9.909310719962002e-01	3.296563e+00
9.910310719962002e-01	3.296467e+00
9.911007338731082e-01	3.296399e+00
9.911475775705845e-01	3.296352e+00
9.911778813876403e-01	3.296318e+00
9.912062390073504e-01	3.295506e+00
9.912321358317054e-01	3.290550e+00
9.912558731215353e-01	3.280720e+00
9.912668628417630e-01	3.275293e+00
9.912728711631247e-01	3.272100e+00
9.912798839007196e-01	3.268196e+00
9.912826163540175e-01	3.266737e+00
9.912852658470656e-01	3.265281e+00
9.912861013209852e-01	3.264833e+00
9.912879332867878e-01	3.263818e+00
9.912932483293794e-01	3.260863e+00
9.912985633719710e-01	3.257884e+00
9.913038784145626e-01	3.254882e+00
9.913091934571543e-01	3.251857e+00
9.913145084997459e-01	3.248808e+00
9.913198235423375e-01	3.245736e+00
9.913251385849291e-01	3.242640e+00
9.913457283217997e-01	3.230322e+00
9.913869077955408e-01	3.203812e+00
9.914692667430233e-01	3.141999e+00
9.915692667430233e-01	3.048300e+00
9.916692667430232e-01	2.935496e+00
9.917692667430232e-01	2.814493e+00
9.918692667430232e-01	2.695941e+00
9.919692667430232e-01	2.583498e+00
9.920692667430232e-01	2.477405e+00
9.921692667430232e-01	2.377257e+00
9.922692667430232e-01	2.282586e+00
9.923692667430232e-01	2.192961e+00
9.925692667430231e-01	2.027316e+00
9.927692667430231e-01	1.877632e+00
9.929692667430231e-01	1.741711e+00
9.931692667430231e-01	1.617740e+00
9.933692667430231e-01	1.504210e+00
9.934692667430230e-01	1.450957e+00
9.935692667430230e-01	1.399857e+00
9.936692667430230e-01	1.350781e+00
9.937692667430230e-01	1.303612e+00
9.938692667430230e-01	1.258240e+00
9.939692667430230e-01	1.214565e+00
9.940692667430230e-01	1.172494e+00
9.941692667430230e-01	1.131940e+00
9.942692667430230e-01	1.092821e+00
9.943692667430230e-01	1.055065e+00
9.944692667430229e-01	1.018600e+00
