Freq.	Vvf)
1.00000000000000e+00	4.84141821334091e+01	1.79255199031474e+02	
1.04712854805090e+00	4.84141111157803e+01	1.79220034811235e+02	
1.09647819614319e+00	4.84140332478224e+01	1.79183217002599e+02	
1.14815362149688e+00	4.84139478687175e+01	1.79144667631879e+02	
1.20226443461741e+00	4.84138542543280e+01	1.79104305070515e+02	
1.25892541179417e+00	4.84137516107002e+01	1.79062043864630e+02	
1.31825673855641e+00	4.84136390667998e+01	1.79017794556899e+02	
1.38038426460289e+00	4.84135156682294e+01	1.78971463500203e+02	
1.44543977074593e+00	4.84133803686092e+01	1.78922952663080e+02	
1.51356124843621e+00	4.84132320201834e+01	1.78872159426498e+02	
1.58489319246111e+00	4.84130693652053e+01	1.78818976371371e+02	
1.65958690743756e+00	4.84128910245822e+01	1.78763291056913e+02	
1.73780082874938e+00	4.84126954864077e+01	1.78704985789119e+02	
1.81970085860998e+00	4.84124810930141e+01	1.78643937379202e+02	
1.90546071796325e+00	4.84122460277085e+01	1.78580016891415e+02	
1.99526231496888e+00	4.84119882981824e+01	1.78513089380362e+02	
2.08929613085404e+00	4.84117057211674e+01	1.78443013616697e+02	
2.18776162394955e+00	4.84113959025968e+01	1.78369641801761e+02	
2.29086765276778e+00	4.84110562187231e+01	1.78292819269886e+02	
2.39883291901949e+00	4.84106837933293e+01	1.78212384178844e+02	
2.51188643150958e+00	4.84102754735616e+01	1.78128167187661e+02	
2.63026799189538e+00	4.84098278041905e+01	1.78039991121476e+02	
2.75422870333817e+00	4.84093369973712e+01	1.77947670623771e+02	
2.88403150312661e+00	4.84087989020106e+01	1.77851011794838e+02	
3.01995172040202e+00	4.84082089690492e+01	1.77749811817018e+02	
3.16227766016838e+00	4.84075622123816e+01	1.77643858566692e+02	
3.31131121482592e+00	4.84068531685518e+01	1.77532930212098e+02	
3.46736850452532e+00	4.84060758503704e+01	1.77416794798170e+02	
3.63078054770102e+00	4.84052236971767e+01	1.77295209817776e+02	
3.80189396320562e+00	4.84042895228006e+01	1.77167921769066e+02	
3.98107170553498e+00	4.84032654517778e+01	1.77034665702193e+02	
4.16869383470336e+00	4.84021428576319e+01	1.76895164751562e+02	
4.36515832240167e+00	4.84009122911797e+01	1.76749129657906e+02	
