time	V(va)
0.000000000000000e+00	1.116991e+01
1.301798828816077e-09	1.116988e+01
3.905396486444842e-09	1.116978e+01
9.112591801705761e-09	1.116956e+01
1.439292824477811e-08	1.116934e+01
2.040190376180329e-08	1.116909e+01
2.712789695624482e-08	1.116884e+01
3.843106101965142e-08	1.116846e+01
5.103873869127093e-08	1.116811e+01
6.259489354594073e-08	1.116787e+01
7.647738529384298e-08	1.116767e+01
9.318277539457854e-08	1.116750e+01
1.170664607773374e-07	1.116734e+01
1.459499319743553e-07	1.116721e+01
1.700386262265155e-07	1.116712e+01
1.937504632474837e-07	1.116704e+01
2.197291105668257e-07	1.116696e+01
2.198417165050647e-07	1.116696e+01
2.200669283815427e-07	1.116696e+01
2.213316783149731e-07	1.116695e+01
2.225964282484036e-07	1.116695e+01
2.238611781818340e-07	1.116694e+01
2.251259281152644e-07	1.116694e+01
2.263906780486948e-07	1.116694e+01
2.276554279821252e-07	1.116693e+01
2.289201779155557e-07	1.116693e+01
2.289971298054503e-07	1.116693e+01
2.290163677779257e-07	1.116693e+01
2.290548437228730e-07	1.116693e+01
2.290644627091107e-07	1.116693e+01
2.290837006815860e-07	1.116693e+01
2.290885101747049e-07	1.116693e+01
2.290981291609426e-07	1.116693e+01
2.290999507564835e-07	1.116693e+01
2.291035939475621e-07	1.116693e+01
2.291108803297191e-07	1.116693e+01
2.291254530940367e-07	1.116693e+01
2.291545986226718e-07	1.116693e+01
2.292128896799421e-07	1.116693e+01
2.293294717944825e-07	1.116693e+01
2.295626360235635e-07	1.116693e+01
2.300289644817254e-07	1.116693e+01
2.309616213980492e-07	1.116692e+01
2.328269352306967e-07	1.116692e+01
2.440188182265821e-07	1.116688e+01
1.715663892854821e-06	1.116234e+01
1.813320142854820e-06	1.116204e+01
1.910976392854820e-06	1.116175e+01
2.008632642854819e-06	1.116145e+01
2.088687645008153e-06	1.116120e+01
2.176455258391214e-06	1.116093e+01
2.210236639098552e-06	1.116083e+01
2.258912124812760e-06	1.116068e+01
2.264322690348035e-06	1.116066e+01
2.264814461197165e-06	1.116067e+01
2.264937403909447e-06	1.116067e+01
2.265183289334014e-06	1.116068e+01
2.265675060183144e-06	1.116075e+01
2.265680244277651e-06	1.116077e+01
2.265690612466668e-06	1.116083e+01
2.265711348844700e-06	1.116145e+01
2.265752821600763e-06	1.116112e+01
2.265789074085968e-06	1.115831e+01
2.265824850532498e-06	1.115519e+01
2.265859486657636e-06	1.115197e+01
2.265896552951440e-06	1.114853e+01
2.265970685539044e-06	1.114179e+01
2.266118950714257e-06	1.112823e+01
2.266415481064678e-06	1.110118e+01
2.267008541765521e-06	1.104703e+01
2.268194663167207e-06	1.093866e+01
2.269692870299138e-06	1.080137e+01
2.271532842050084e-06	1.063237e+01
2.273951770639383e-06	1.041061e+01
2.277680483387943e-06	1.006948e+01
2.281438141225484e-06	9.725911e+00
2.285857078134890e-06	9.322171e+00
2.290434258285259e-06	8.904287e+00
2.296713002060764e-06	8.331474e+00
2.304917943324631e-06	7.583551e+00
2.317746348897844e-06	6.415270e+00
2.332719205452870e-06	5.053006e+00
2.346232317281556e-06	3.824872e+00
2.364384784364005e-06	2.176765e+00
2.375212538046543e-06	1.194801e+00
2.384257262375156e-06	4.717043e-01
2.388546946434678e-06	2.875917e-01
2.392427024654505e-06	2.450143e-01
2.394716821861066e-06	2.354367e-01
2.397774962215186e-06	2.274737e-01
2.401930797208061e-06	2.193831e-01
2.406421363883483e-06	2.127462e-01
2.411693652719879e-06	2.067247e-01
2.418037452296442e-06	2.010657e-01
2.427414669181749e-06	1.945650e-01
2.439355346277995e-06	1.881270e-01
2.452886158610863e-06	1.824238e-01
2.467269239828032e-06	1.776267e-01
2.485538436697722e-06	1.728160e-01
2.513279331819270e-06	1.672535e-01
2.564945190034870e-06	1.596915e-01
2.628109923958305e-06	1.531418e-01
2.709934725795667e-06	1.472931e-01
2.807590975795666e-06	1.423863e-01
2.905247225795666e-06	1.388608e-01
3.100559725795665e-06	1.342604e-01
3.393528475795663e-06	1.305291e-01
3.482465417759948e-06	1.298558e-01
3.571402359724233e-06	1.292597e-01
3.660339301688518e-06	1.287408e-01
3.749276243652803e-06	1.282992e-01
3.838213185617089e-06	1.279348e-01
3.927150127581373e-06	1.276476e-01
4.016087069545659e-06	1.274376e-01
4.064915194545660e-06	1.273919e-01
4.139318089823272e-06	1.283246e-01
4.220321532105496e-06	1.325239e-01
4.302129445854708e-06	1.409738e-01
4.361995655448853e-06	1.501169e-01
4.433045827025656e-06	1.692345e-01
4.521415978518578e-06	6.288456e-01
4.556389570080600e-06	1.655326e+00
4.566869161220633e-06	2.390646e+00
4.572262681393526e-06	2.884918e+00
4.577439621981804e-06	3.359015e+00
4.582259883126735e-06	3.800197e+00
4.588223582395576e-06	4.345700e+00
4.600150980933261e-06	5.435365e+00
4.613798132846053e-06	6.678302e+00
4.628175599775613e-06	7.985127e+00
4.645868628354565e-06	9.606514e+00
4.650118588810492e-06	9.991568e+00
4.658618509722346e-06	1.075521e+01
4.659245936994085e-06	1.081193e+01
4.660500791537565e-06	1.092546e+01
4.663010500624525e-06	1.115378e+01
4.663088929033492e-06	1.116085e+01
4.663245785851428e-06	1.117467e+01
4.663250687626988e-06	1.117488e+01
4.663260491178110e-06	1.117456e+01
4.663262942065889e-06	1.117285e+01
4.663267843841449e-06	1.117061e+01
4.663277647392571e-06	1.117425e+01
4.663291006940041e-06	1.117622e+01
4.663304132226587e-06	1.117627e+01
4.663330382799680e-06	1.117662e+01
4.663382883945865e-06	1.117660e+01
4.663487886238235e-06	1.117670e+01
4.663697890822971e-06	1.117671e+01
4.664117899992447e-06	1.117672e+01
4.664957918331399e-06	1.117663e+01
4.666533743241071e-06	1.117634e+01
4.668018136528866e-06	1.117599e+01
4.670249814254899e-06	1.117539e+01
4.673088133888785e-06	1.117462e+01
4.676997426894269e-06	1.117363e+01
4.681192455939018e-06	1.117270e+01
4.685561869637249e-06	1.117188e+01
4.690830939578583e-06	1.117109e+01
4.697808330522159e-06	1.117031e+01
4.709253709612552e-06	1.116942e+01
4.719673525041972e-06	1.116891e+01
4.732778605311651e-06	1.116852e+01
4.746722717743634e-06	1.116706e+01
4.749279777869202e-06	1.116748e+01
4.752100984080267e-06	1.116818e+01
4.752115090280498e-06	1.116818e+01
4.752143302680961e-06	1.116818e+01
4.752199727481889e-06	1.116817e+01
4.752239786907867e-06	1.116817e+01
4.752278545215438e-06	1.116817e+01
4.752310531135234e-06	1.116817e+01
4.752346880489001e-06	1.116817e+01
4.752419579196532e-06	1.116817e+01
4.753890345569947e-06	1.116816e+01
4.755361111943362e-06	1.116814e+01
4.756831878316777e-06	1.116813e+01
4.758302644690191e-06	1.116811e+01
4.759773411063605e-06	1.116810e+01
4.761244177437021e-06	1.116808e+01
4.762714943810435e-06	1.116807e+01
4.763169074796391e-06	1.116807e+01
4.763237481861658e-06	1.116807e+01
4.763374295992192e-06	1.116807e+01
4.763559713437614e-06	1.116806e+01
4.763764814388299e-06	1.116806e+01
4.764175016289669e-06	1.116806e+01
4.764686757849784e-06	1.116805e+01
4.765378131717703e-06	1.116805e+01
4.766310021705883e-06	1.116804e+01
4.767655898638269e-06	1.116803e+01
4.769734901229885e-06	1.116802e+01
4.773651341393371e-06	1.116799e+01
4.781484221720338e-06	1.116794e+01
4.797149982374273e-06	1.116786e+01
4.828481503682143e-06	1.116774e+01
4.891144546297885e-06	1.116753e+01
4.926269720532032e-06	1.116742e+01
4.971620161765380e-06	1.116728e+01
4.997173417022634e-06	1.116720e+01
5.022580693125587e-06	1.116712e+01
5.026157767049186e-06	1.116711e+01
5.033311914896381e-06	1.116709e+01
5.038417022159567e-06	1.116707e+01
5.041283919261204e-06	1.116706e+01
5.042095249491041e-06	1.116706e+01
5.047605610049448e-06	1.116704e+01
5.049696367785151e-06	1.116704e+01
5.049856708973225e-06	1.116704e+01
5.050177391349372e-06	1.116704e+01
5.050457988428504e-06	1.116703e+01
5.050558201671051e-06	1.116703e+01
5.050598286968071e-06	1.116703e+01
