time	V(va)
0.000000000000000e+00	1.109429e+01
9.563389157360880e-10	1.109388e+01
2.869016747204876e-09	1.109361e+01
6.694372410145840e-09	1.109344e+01
1.121861881386523e-08	1.109323e+01
1.670281708946673e-08	1.109298e+01
2.299027699697421e-08	1.109272e+01
3.240436628367118e-08	1.109234e+01
4.141089944637025e-08	1.109204e+01
5.230633554011746e-08	1.109173e+01
6.443420159312513e-08	1.109147e+01
7.903770514184190e-08	1.109125e+01
9.701385648957017e-08	1.109107e+01
1.213191442686949e-07	1.109091e+01
1.544668441288409e-07	1.109075e+01
2.029730938815785e-07	1.109058e+01
2.758740573217425e-07	1.109033e+01
9.594678073217384e-07	1.108807e+01
1.057124057321738e-06	1.108774e+01
1.154780307321737e-06	1.108742e+01
1.249765123110276e-06	1.108711e+01
1.400197686586285e-06	1.108661e+01
1.468190951813952e-06	1.108639e+01
1.471120986165954e-06	1.108638e+01
1.471609325224622e-06	1.108639e+01
1.472586003341957e-06	1.108640e+01
1.472637998561298e-06	1.108641e+01
1.472741988999978e-06	1.108644e+01
1.472815815613742e-06	1.108656e+01
1.472874638466639e-06	1.108709e+01
1.472920683913232e-06	1.108504e+01
1.472965899643179e-06	1.108052e+01
1.473002378184768e-06	1.107718e+01
1.473041557978319e-06	1.107367e+01
1.473119917565425e-06	1.106657e+01
1.473276636739633e-06	1.105249e+01
1.473590075088049e-06	1.102425e+01
1.474216951784886e-06	1.096783e+01
1.475470705178558e-06	1.085494e+01
1.476897904137030e-06	1.072613e+01
1.478769920254824e-06	1.055685e+01
1.481129025078915e-06	1.034376e+01
1.484851938215125e-06	1.000795e+01
1.488649507396170e-06	9.665600e+00
1.492915115849701e-06	9.281330e+00
1.497443650396303e-06	8.873693e+00
1.503513546735182e-06	8.327727e+00
1.511574495922686e-06	7.603316e+00
1.524654792866339e-06	6.428996e+00
1.539249215522784e-06	5.120066e+00
1.552587136406362e-06	3.925161e+00
1.570002337779635e-06	2.362924e+00
1.581860539241161e-06	1.295825e+00
1.591151657878075e-06	5.288085e-01
1.595447859816497e-06	3.140906e-01
1.599623112579197e-06	2.492875e-01
1.602218484798303e-06	2.371371e-01
1.605301192235265e-06	2.284971e-01
1.608944477346198e-06	2.210233e-01
1.612961195686532e-06	2.147370e-01
1.617981345573239e-06	2.086107e-01
1.623812323481977e-06	2.030124e-01
1.632074199101887e-06	1.969138e-01
1.646177749706241e-06	1.889838e-01
1.660906156699285e-06	1.826007e-01
1.674649577372287e-06	1.779576e-01
1.691749176549903e-06	1.733776e-01
1.717677294835146e-06	1.680588e-01
1.769533531405633e-06	1.602694e-01
1.828884987959790e-06	1.539158e-01
1.907773602048185e-06	1.480916e-01
2.005429852048184e-06	1.430109e-01
2.103086102048183e-06	1.393663e-01
2.298398602048182e-06	1.346344e-01
2.591367352048181e-06	1.308147e-01
2.661121816333894e-06	1.302489e-01
2.730876280619608e-06	1.297416e-01
2.800630744905322e-06	1.292928e-01
2.870385209191036e-06	1.289024e-01
2.940139673476750e-06	1.285704e-01
3.009894137762464e-06	1.282969e-01
3.079648602048178e-06	1.280818e-01
3.177304852048177e-06	1.288985e-01
3.274961102048176e-06	1.336607e-01
3.368364347091786e-06	1.435359e-01
3.430607608776030e-06	1.538773e-01
3.503892607712486e-06	1.795900e-01
3.585326046035735e-06	8.822179e-01
3.612731442674707e-06	2.101272e+00
3.627694563700629e-06	3.315583e+00
3.634812926381802e-06	3.957144e+00
3.641448260854103e-06	4.555109e+00
3.648547210150009e-06	5.194444e+00
3.656117563352449e-06	5.875758e+00
3.669239964220310e-06	7.054073e+00
3.682999530337370e-06	8.287578e+00
3.708955996407937e-06	1.062834e+01
3.709752439777339e-06	1.069577e+01
3.711345326516144e-06	1.082983e+01
3.712539991570248e-06	1.093680e+01
3.714182656019642e-06	1.108386e+01
3.714307100296109e-06	1.109487e+01
3.714356878006698e-06	1.109922e+01
3.714369322434345e-06	1.110026e+01
3.714394211289638e-06	1.110070e+01
3.714416294918485e-06	1.109954e+01
3.714419977752230e-06	1.110052e+01
3.714427343419724e-06	1.110302e+01
3.714442074754708e-06	1.110369e+01
3.714471537424675e-06	1.110385e+01
3.714530462764611e-06	1.110398e+01
3.714648313444486e-06	1.110402e+01
3.714884014804232e-06	1.110406e+01
3.715355417523728e-06	1.110404e+01
3.716298222962719e-06	1.110391e+01
3.717759717587598e-06	1.110358e+01
3.719307082267512e-06	1.110314e+01
3.721441755391311e-06	1.110246e+01
3.724529392663950e-06	1.110148e+01
3.728745207910275e-06	1.110025e+01
3.732623611997596e-06	1.109925e+01
3.737107221250221e-06	1.109828e+01
3.742151399602354e-06	1.109740e+01
3.749493923363978e-06	1.109645e+01
3.760860906971269e-06	1.109544e+01
3.771562183137280e-06	1.109484e+01
3.785854199344940e-06	1.109436e+01
3.799051290638395e-06	1.109410e+01
3.820370170815320e-06	1.109334e+01
3.824154888914627e-06	1.109341e+01
3.831724325113243e-06	1.109374e+01
3.833616684162898e-06	1.109372e+01
3.833854174534013e-06	1.109372e+01
3.834329155276244e-06	1.109372e+01
3.834343998424439e-06	1.109372e+01
3.834373684720829e-06	1.109372e+01
3.834414265862819e-06	1.109372e+01
3.834447441330149e-06	1.109372e+01
3.834481154149517e-06	1.109372e+01
3.834508539012483e-06	1.109372e+01
3.834542017850955e-06	1.109372e+01
3.834608975527897e-06	1.109372e+01
3.836083008212534e-06	1.109371e+01
3.837557040897172e-06	1.109370e+01
3.839031073581809e-06	1.109369e+01
3.840505106266446e-06	1.109368e+01
3.841979138951083e-06	1.109367e+01
3.843453171635720e-06	1.109367e+01
3.844927204320357e-06	1.109366e+01
3.845174689412812e-06	1.109366e+01
3.845508999903842e-06	1.109366e+01
3.845539419306892e-06	1.109366e+01
3.845600258112995e-06	1.109365e+01
3.845721935725202e-06	1.109365e+01
3.845920338364100e-06	1.109365e+01
3.846317143641901e-06	1.109365e+01
3.846754038579121e-06	1.109365e+01
