time	V(vb)
0.000000000000000e+00	6.824373e+00
9.563389157360880e-10	6.822438e+00
2.869016747204876e-09	6.818428e+00
6.694372410145840e-09	6.810043e+00
1.121861881386523e-08	6.800071e+00
1.670281708946673e-08	6.788074e+00
2.299027699697421e-08	6.774396e+00
3.240436628367118e-08	6.754117e+00
4.141089944637025e-08	6.735020e+00
5.230633554011746e-08	6.712378e+00
6.443420159312513e-08	6.687722e+00
7.903770514184190e-08	6.658628e+00
9.701385648957017e-08	6.623406e+00
1.213191442686949e-07	6.576351e+00
1.544668441288409e-07	6.512634e+00
2.029730938815785e-07	6.419682e+00
2.758740573217425e-07	6.280096e+00
9.594678073217384e-07	4.971572e+00
1.057124057321738e-06	4.784687e+00
1.154780307321737e-06	4.597815e+00
1.249765123110276e-06	4.416063e+00
1.400197686586285e-06	4.128241e+00
1.468190951813952e-06	3.998159e+00
1.471120986165954e-06	3.992553e+00
1.471609325224622e-06	3.991619e+00
1.472586003341957e-06	3.989751e+00
1.472637998561298e-06	3.989651e+00
1.472741988999978e-06	3.989452e+00
1.472815815613742e-06	3.989311e+00
1.472874638466639e-06	3.989199e+00
1.472920683913232e-06	3.989112e+00
1.472965899643179e-06	3.989022e+00
1.473002378184768e-06	3.988947e+00
1.473041557978319e-06	3.988865e+00
1.473119917565425e-06	3.988693e+00
1.473276636739633e-06	3.988323e+00
1.473590075088049e-06	3.987490e+00
1.474216951784886e-06	3.985521e+00
1.475470705178558e-06	3.980765e+00
1.476897904137030e-06	3.974581e+00
1.478769920254824e-06	3.965981e+00
1.481129025078915e-06	3.955019e+00
1.484851938215125e-06	3.938298e+00
1.488649507396170e-06	3.922367e+00
1.492915115849701e-06	3.906005e+00
1.497443650396303e-06	3.890384e+00
1.503513546735182e-06	3.872050e+00
1.511574495922686e-06	3.851774e+00
1.524654792866339e-06	3.827161e+00
1.539249215522784e-06	3.810036e+00
1.552587136406362e-06	3.802831e+00
1.570002337779635e-06	3.804634e+00
1.581860539241161e-06	3.812581e+00
1.591151657878075e-06	3.822726e+00
1.595447859816497e-06	3.832050e+00
1.599623112579197e-06	3.847121e+00
1.602218484798303e-06	3.857781e+00
1.605301192235265e-06	3.870225e+00
1.608944477346198e-06	3.884417e+00
1.612961195686532e-06	3.899253e+00
1.617981345573239e-06	3.916585e+00
1.623812323481977e-06	3.935201e+00
1.632074199101887e-06	3.959365e+00
1.646177749706241e-06	3.996621e+00
1.660906156699285e-06	4.032310e+00
1.674649577372287e-06	4.064130e+00
1.691749176549903e-06	4.102768e+00
1.717677294835146e-06	4.160427e+00
1.769533531405633e-06	4.274677e+00
1.828884987959790e-06	4.405104e+00
1.907773602048185e-06	4.578628e+00
2.005429852048184e-06	4.793641e+00
2.103086102048183e-06	5.008817e+00
2.298398602048182e-06	5.439497e+00
2.591367352048181e-06	6.086010e+00
2.661121816333894e-06	6.240000e+00
2.730876280619608e-06	6.394001e+00
2.800630744905322e-06	6.548012e+00
2.870385209191036e-06	6.702033e+00
2.940139673476750e-06	6.856065e+00
