time	V(vb)
0.000000000000000e+00	7.009438e+00
1.383360386833477e-09	7.007697e+00
4.150081160503820e-09	7.004025e+00
9.683522707844505e-09	6.996311e+00
1.647376763841974e-08	6.986680e+00
2.653596376035839e-08	6.972427e+00
3.790892580927494e-08	6.956521e+00
6.065484990710804e-08	6.925566e+00
8.970084825580889e-08	6.887730e+00
1.236514570665808e-07	6.845704e+00
1.575214025024880e-07	6.805590e+00
1.968973755356722e-07	6.760335e+00
2.390002134425811e-07	6.712684e+00
2.896248805816696e-07	6.655646e+00
3.476569956043657e-07	6.590056e+00
4.236585294273244e-07	6.503904e+00
4.556708013310959e-07	6.467769e+00
4.559743553664584e-07	6.467429e+00
4.565814634371869e-07	6.466749e+00
4.574941233719519e-07	6.465719e+00
4.579302470307113e-07	6.465224e+00
4.584417438634849e-07	6.464641e+00
4.587141814516363e-07	6.464329e+00
4.591120116559186e-07	6.463872e+00
4.599076720644866e-07	6.462955e+00
4.611899970857366e-07	6.461473e+00
4.626288213835271e-07	6.459803e+00
4.644661501885154e-07	6.457664e+00
4.681408077984922e-07	6.453381e+00
4.754901230184456e-07	6.444825e+00
4.901887534583526e-07	6.427784e+00
5.162676399572578e-07	6.397686e+00
5.618610770157749e-07	6.345201e+00
6.248574964472746e-07	6.272738e+00
7.225137464472740e-07	6.160520e+00
1.015482496447272e-06	5.826212e+00
1.210794996447271e-06	5.607258e+00
1.406107496447270e-06	5.394073e+00
1.601419996447269e-06	5.189740e+00
1.699076246447268e-06	5.091943e+00
1.796732496447268e-06	4.998853e+00
1.894388746447267e-06	4.915221e+00
1.992044996447266e-06	4.848954e+00
2.089701246447266e-06	4.809339e+00
2.187357496447265e-06	4.805571e+00
2.285013746447265e-06	4.840351e+00
2.340930067715797e-06	4.880803e+00
2.376523435853413e-06	4.916634e+00
2.413485384775296e-06	4.958851e+00
2.427993909361645e-06	4.976042e+00
2.450245455370508e-06	5.002682e+00
2.475337985982781e-06	5.032732e+00
2.506103116921177e-06	5.069547e+00
2.550687202946208e-06	5.122859e+00
2.596939657796638e-06	5.178158e+00
2.689444567497498e-06	5.288805e+00
2.773297943146844e-06	5.389143e+00
2.870954193146844e-06	5.505962e+00
2.968610443146843e-06	5.622618e+00
3.066266693146842e-06	5.738985e+00
3.163922943146842e-06	5.854942e+00
3.261579193146841e-06	5.970339e+00
3.359235443146841e-06	6.084966e+00
3.456891693146840e-06	6.198535e+00
3.554547943146839e-06	6.310710e+00
3.652204193146839e-06	6.421423e+00
3.701928854777497e-06	6.477197e+00
3.706506491496247e-06	6.482283e+00
3.712610007121246e-06	6.489051e+00
3.722285535541872e-06	6.499606e+00
3.728093429769796e-06	6.505656e+00
3.730942452495416e-06	6.508561e+00
3.733201502192698e-06	6.510953e+00
3.734627389662214e-06	6.512518e+00
3.736349625806689e-06	6.514435e+00
3.738369754748216e-06	6.516698e+00
3.738969609054227e-06	6.517372e+00
3.739465591245641e-06	6.517931e+00
3.740030200485086e-06	6.518567e+00
3.741159418963975e-06	6.519839e+00
3.742381353898773e-06	6.521217e+00
3.744515062183428e-06	6.523623e+00
3.747379111464897e-06	6.526847e+00
3.751712952081976e-06	6.531712e+00
3.758138535728205e-06	6.538885e+00
3.770068442214308e-06	6.552094e+00
3.792340519886574e-06	6.576485e+00
3.836884675231108e-06	6.624653e+00
3.896402961130431e-06	6.687948e+00
3.994059211130430e-06	6.789520e+00
4.091715461130430e-06	6.888222e+00
4.189371711130429e-06	6.982577e+00
4.287027961130429e-06	7.068727e+00
4.384684211130428e-06	7.139825e+00
4.482340461130427e-06	7.187829e+00
4.579996711130427e-06	7.205396e+00
4.677652961130426e-06	7.186891e+00
4.775309211130426e-06	7.133396e+00
4.826180842752070e-06	7.089681e+00
4.865036226839784e-06	7.048316e+00
4.892472149019866e-06	7.017218e+00
4.925572617366529e-06	6.979171e+00
4.960452879660355e-06	6.938962e+00
5.006468949848875e-06	6.885870e+00
5.078848112895523e-06	6.802331e+00
5.150658549719304e-06	6.719404e+00
5.248314799719303e-06	6.606572e+00
5.298361504706079e-06	6.548736e+00
5.299887383612329e-06	6.546972e+00
5.302939141424829e-06	6.543445e+00
5.309042657049828e-06	6.536392e+00
5.319874729796833e-06	6.523986e+00
5.341538875290848e-06	6.499452e+00
5.349621345981755e-06	6.490198e+00
5.354836018123920e-06	6.484082e+00
5.355116845585920e-06	6.483750e+00
5.355678500509915e-06	6.483088e+00
5.356008376224143e-06	6.482699e+00
5.356300293476552e-06	6.482355e+00
5.356610174194263e-06	6.481989e+00
5.357118350375710e-06	6.481390e+00
5.359286338578291e-06	6.478838e+00
5.361454326780872e-06	6.476288e+00
5.363622314983454e-06	6.473742e+00
5.365790303186035e-06	6.471200e+00
5.367958291388617e-06	6.468661e+00
5.370126279591197e-06	6.466126e+00
5.372294267793779e-06	6.463595e+00
5.379702876542394e-06	6.454964e+00
5.392642750853479e-06	6.439944e+00
5.418522499475650e-06	6.410002e+00
5.457419756205010e-06	6.365106e+00
5.535214269663729e-06	6.275479e+00
5.730526769663728e-06	6.051245e+00
5.828183019663727e-06	5.939753e+00
6.023495519663726e-06	5.718830e+00
6.218808019663725e-06	5.502338e+00
6.414120519663724e-06	5.293071e+00
6.511776769663723e-06	5.192142e+00
6.609433019663723e-06	5.094261e+00
6.707089269663722e-06	5.001031e+00
6.804745519663721e-06	4.917122e+00
6.902401769663721e-06	4.850379e+00
7.000058019663720e-06	4.810068e+00
7.097714269663720e-06	4.805404e+00
7.195370519663719e-06	4.839220e+00
7.252102088871920e-06	4.879747e+00
7.288330170553440e-06	4.916001e+00
7.325458389680585e-06	4.958338e+00
7.339700540884700e-06	4.975210e+00
7.362212141234021e-06	5.002162e+00
7.387303670809661e-06	5.032212e+00
7.417308893822864e-06	5.068119e+00
7.459881371986731e-06	5.119025e+00
7.505248272187328e-06	5.173264e+00
7.585006654313056e-06	5.268657e+00
7.667322816684286e-06	5.367155e+00
7.764979066684285e-06	5.483991e+00
7.862635316684285e-06	5.600687e+00
7.960291566684284e-06	5.717117e+00
8.057947816684283e-06	5.833161e+00
8.155604066684283e-06	5.948677e+00
8.253260316684282e-06	6.063468e+00
8.350916566684282e-06	6.177261e+00
8.448572816684281e-06	6.289723e+00
8.546229066684280e-06	6.400764e+00
8.598639203928904e-06	6.459738e+00
8.600165082835154e-06	6.461442e+00
8.603216840647653e-06	6.464841e+00
8.609320356272653e-06	6.471632e+00
8.618294026762991e-06	6.481598e+00
8.633281287288204e-06	6.498026e+00
8.644066739260413e-06	6.509511e+00
8.644134213955647e-06	6.509579e+00
8.644269163346116e-06	6.509714e+00
8.644539062127056e-06	6.509984e+00
8.644748850331046e-06	6.510197e+00
8.644987914408540e-06	6.510441e+00
8.645466042563525e-06	6.510937e+00
8.646176941459292e-06	6.511686e+00
8.647598739250830e-06	6.513216e+00
8.650017194044681e-06	6.515868e+00
8.651688675897748e-06	6.517724e+00
